year,production,area,yield,wheat_price,asi,inflation,political_stability,cotton_price,barley_price,ln_real_cotton_price,ln_real_barley_price,ln_real_wheat_price,ln_production,ln_area,ln_yield,ln_asi,ln_political_stability,ln_inflation
2002,4775442,1679350,2.844,11300,0.0617,100.945764204731,67.0849057,30750,12000,5.719061888695105,4.778078544230579,4.717974620160873,15.378997093058077,14.333917371750578,1.0452115119409944,-2.785471348070795,4.205959066362085,4.614583384539559
2003,4912993,1796015,2.735,11300,0.0040999999999999995,105.443556501415,65.4226934,30750,7500,5.675469472952434,4.264482499242172,4.674382204418202,15.4073938863584,14.401080879702501,1.0061314358739444,-5.496768305271875,4.18086919215849,4.65817580028223
2004,4537459,1831226,2.478,11300,0.019299999999999998,116.332327608065,59.428158599999996,30750,7500,5.577194284940596,4.166207311230334,4.576107016406364,15.327877721701748,14.420496245859585,0.9074517832069507,-3.947650183071297,4.0847681645472065,4.756450988294068
2005,4668746,1903826,2.452,11300,0.0106,130.23412142817,57.969138799999996,30750,7500,5.464311508453583,4.053324534743321,4.463224239919351,15.356401071102523,14.45937610360282,0.8969040180739649,-4.546901277864116,4.059910779281311,4.869333764781081
2006,4931525,1786659,2.76,11300,0.0645,142.081376634202,56.7979918,30750,9500,5.377245304889362,4.202647109243331,4.376158036355131,15.411158828814822,14.395857953324892,1.0152306797290584,-2.7410900551804103,4.0395009694682775,4.956399968345302
2007,4041100,1667732,2.423,11300,0.138,157.381930229012,56.2746594,41000,9500,5.562651817887937,4.100371549790124,4.273882476901924,15.212027490104338,14.326975177528958,0.8850064418343887,-1.9805015938249322,4.030244334353334,5.058675527798508
2008,2139313,1485991,1.44,16750,0.5606,182.484578193158,55.7338064,42000,15000,5.438759230864732,4.4091398136835735,4.519487870852439,14.57599530742012,14.21159244771391,0.36464311358790924,-0.5787476402514492,4.020586899984746,5.206665666400773
2009,3701784,1437375,2.575,19750,0.0672,177.410630863825,56.9008231,42000,16000,5.466957903233851,4.501877007190265,4.712441776297614,15.12432542357379,14.178329091350966,0.9458495341156995,-2.700082031453033,4.041309806757007,5.178466994031654
2010,3083082,1599108,1.928,20250,0.0305,189.651434314208,46.8058091,42000,16000,5.400237066205292,4.435156170161704,4.670722241474472,14.941440303984578,14.284956531749103,0.6564831961883538,-3.4900285953687713,3.8460073212889743,5.245187831060213
2011,3858331,1521038,2.537,21250,0.1496,211.601399502263,29.4463542,51000,17000,5.484876597839356,4.386264309171246,4.609407860485455,15.165745264516659,14.23490355449279,0.9309822806171448,-1.8997902134417601,3.38257010616935,5.354704313867107
2012,3609096,1602814,2.252,22250,0.0816,267.138413967334,23.951639,100000,20000,5.925158536523067,4.315720624088966,4.4223303591472245,15.098967883437398,14.287271392420228,0.8118187102774439,-2.505926017012076,3.1760367557534046,5.587766928447161
2013,3182111,1374077,2.316,36500,0.0481,352.009618472537,23.7713239,110000,31000,5.744577144343712,4.478083983036441,4.641409039139742,14.973055370992377,14.13329279095112,0.8398415597107487,-3.0344731018704216,3.1684799760769082,5.863658500430842
2014,2024332,1287885,1.572,44500,0.4661,482.586129205022,25.7574443,110000,33000,5.429076233801437,4.225103429475501,4.524085057181216,14.520750327558332,14.068511895945944,0.45234869400701483,-0.7633550756034417,3.2487236843577993,6.179159410973116
2015,2861628,1197200,2.39,61000,0.0255,667.003474756306,24.245802899999997,140000,48000,5.346602446159693,4.27616103445828,4.5158338877237,14.866901251614888,13.99549605496068,0.8712933659434193,-3.6690768268177565,3.188243526115403,6.5027952554317485
2016,1726247,1178506,1.465,100000,0.4334,912.935558328726,21.5585068,235000,75000,5.550675497356742,4.408578096748893,4.696260169200674,14.36146024583302,13.979758092563012,0.3818552424690307,-0.8360941898798784,3.0707704857573863,6.816665295769555
2017,1850740,1169911,1.582,140000,0.2336,1252.73958315618,24.1233979,300000,110000,5.478449655014732,4.4751475461509465,4.716309602967835,14.431096117075834,13.972438235504525,0.4586898693454622,-1.454145028028065,3.183182236729766,7.133088098623606
2018,1222988,1096818,1.115,175000,0.5629,1417.94914744364,24.4910213,350000,130000,5.508721589186093,4.5183228851582165,4.815574408626148,14.016807602683315,13.907923818474133,0.10885440491208208,-0.5746532865121562,3.198306572830352,7.2569668442795034
2019,3085097,1345607,2.293,185000,0.0070999999999999995,1699.14768240662,23.998244399999997,360000,130000,5.355977269402807,4.337407688408234,4.690229063030976,14.942093657290854,14.112355770327598,0.8298610038757674,-4.947660494934867,3.1779806776723536,7.437882041029486
2020,2848472,1350538,2.109,400000,0.0418,2802.37597291058,25.689845599999998,700000,200000,5.520612715933451,4.267849747438084,4.960996927998028,14.862293268119327,14.116013589545716,0.7462139014966376,-3.1748589394514264,3.2460958009830616,7.93822289809209
2021,1951806,1567262,1.245,900000,0.3057,6120.36749567096,25.3337284,2500000,200000,6.012423867822637,3.4866952235143813,4.990772620290655,14.484265655770232,14.264840705830462,0.219135529916671,-1.1851510500853482,3.232136646233467,8.719377422015793
2022,1551605,1184237,1.31,2000000,0.38420000000000004,12692.1213365498,24.2452239,4000000,1800000,5.753068206345638,4.954560510127867,5.059921025785693,14.254800437022778,13.984609243313882,0.2700271372130602,-0.9565920286476807,3.188219645408467,9.448736712738526
2023,3080351,1335667,2.306,2800000,0.09050000000000001,24495.794179541113,24.2511221,10000000,2200000,6.011838935302999,4.497711202673224,4.738873259490112,14.940554109495652,14.104941350513405,0.8355144218468673,-2.4024054282762566,3.188462888477917,10.10625671565532
